SG_UF_PROVA;NU_NOTA_MT
AM;508.1
RJ;
RJ;
PR;483.5
RS;517.7
PB;655.3
BA;
RN;498.5
PA;539.9
MG;434.8
TO;
MA;612.6
SP;569.3
BA;
RS;418.8
AL;
PE;487.1
PI;
AM;
SP;407.1
CE;
MA;
RJ;589.6
GO;
RN;
SC;759.5
PI;545.5
RO;
RS;393.7
PE;548.1
MA;
PB;843.8
RJ;607.0
PI;589.0
MA;615.8
RN;
RJ;588.9
RJ;
SE;601.4
PA;
DF;
SP;
SP;555.9
RJ;
PA;691.2
RJ;
PE;
PI;534.7
PE;585.0
PE;
SP;409.0
BA;
MG;
RN;
RJ;778.8
GO;610.9
RO;440.3
RS;
MG;
RS;571.3
SP;405.9
MA;603.6
PB;454.1
ES;
DF;576.8
SP;
MA;
MS;
AL;364.8
PI;374.6
PE;579.4
BA;401.0
AM;532.5
PR;550.2
MG;429.6
MG;404.2
DF;560.0
PE;637.5
MA;
SP;455.2
PE;
RJ;
PE;378.4
RJ;379.7
MG;
AL;516.7
PB;
RJ;
PE;
SP;
BA;534.0
AC;389.9
RJ;460.2
RN;644.2
PA;619.3
MA;571.3
AC;551.4
PA;382.1
PE;629.7
PA;619.4
CE;466.5
BA;394.1
RJ;468.0
AL;403.9
PA;
SE;360.8
MG;654.2
MG;381.9
SP;409.7
PA;395.9
SP;594.2
PA;550.1
PE;
AM;471.6
PA;
BA;
PB;537.6
BA;
CE;
MG;
PB;
BA;405.7
SP;558.1
SP;
AP;400.1
RS;365.0
PE;365.8
AL;
RJ;511.5
CE;637.9
RJ;
RS;597.3
TO;397.8
ES;
MT;357.3
SC;510.2
RJ;490.4
RJ;603.3
PB;
RN;390.2
MA;472.0
GO;414.0
PE;
BA;
RJ;
AL;
PA;445.6
PA;456.1
AM;
RJ;514.3
CE;
SP;587.8
PI;370.3
SP;412.5
RJ;761.2
PA;370.6
PA;
GO;645.3
PB;461.0
SP;
PB;435.6
SP;
PR;526.7
MG;510.3
SP;503.1
RS;
RJ;402.5
SP;638.6
BA;578.6
SP;547.5
RJ;
AL;513.6
PA;588.2
BA;
CE;525.3
AM;
BA;442.4
CE;592.3
MG;
BA;448.2
MG;414.3
PA;
RN;
AC;
BA;572.4
BA;537.1
BA;381.2
RO;504.7
PA;414.5
RS;
AM;
MG;
AL;
MG;553.0
RJ;566.9
RN;497.7
RJ;
RS;490.5
PA;494.6
SP;397.4
MG;702.0
MS;477.9
MA;367.2
CE;536.2
RO;
AM;441.3
PR;557.0
PI;
BA;
RJ;452.9
PB;418.8
PE;464.6
RJ;464.0
BA;636.0
MG;546.1
BA;
RJ;
DF;448.9
PA;
CE;
PB;448.0
ES;
PE;
CE;435.0
BA;
AM;655.5
AC;579.5
MS;597.9
AP;
SP;
RO;498.6
BA;404.4
GO;651.4
PB;
RJ;568.8
RJ;
BA;
PE;392.6
PR;
PI;562.4
RJ;497.1
BA;515.9
SP;
MG;
RJ;448.5
BA;451.6
SP;585.1
PB;416.1
MG;494.0
PA;474.0
SP;496.1
SP;
PB;400.2
SC;582.3
RJ;
RJ;577.8
RS;614.2
CE;376.0
MG;
SP;844.3
PA;534.3
MA;
RS;596.4
RJ;639.6
SC;548.6
AL;455.0
SP;
SP;405.6
BA;
PE;386.1
RJ;533.2
RJ;606.2
CE;
DF;451.6
PR;683.7
BA;
MA;480.2
PA;
SE;379.4
RJ;
CE;533.4
RO;
SP;634.5
CE;545.7
SE;
BA;
RJ;432.1
PB;416.9
RJ;
CE;702.8
PB;453.9
PB;655.5
SP;
PA;425.3
SP;
PE;650.3
PE;424.1
BA;361.1
SE;390.4
MA;376.2
RN;466.7
PA;521.2
RS;
RJ;485.6
RN;579.0
GO;414.4
BA;491.4
RS;711.4
BA;449.5
SE;
PI;416.9
PE;504.9
SE;509.6
BA;
MG;
SP;
MG;561.4
PA;
AM;
RS;536.8
PE;
MA;436.0
DF;
AL;369.2
SC;
PA;522.5
RN;481.9
SE;393.6
PI;
CE;522.9
RJ;397.9
SP;
SP;512.5
SP;494.4
CE;635.8
PA;423.4
PI;
MG;419.7
RJ;
BA;616.1
MG;569.2
RS;766.2
RJ;567.8
SP;604.2
BA;538.7
SP;
PA;487.2
SP;372.2
BA;431.9
PB;573.5
RJ;479.9
SP;369.4
SP;
MG;500.1
SP;653.0
RJ;
MA;
SE;468.3
PA;384.0
AP;365.6
PE;561.4
SP;
RJ;452.9
SE;508.0
SE;447.8
MG;
CE;
MG;462.5
BA;451.3
RN;
DF;
BA;456.0
MT;459.1
MG;697.7
AC;521.7
PB;486.2
RJ;553.6
RJ;540.1
RN;521.7
AM;
SC;
RN;450.1
SE;411.8
PR;
PB;476.4
PA;385.5
SP;
CE;403.6
AL;
RJ;389.8
SP;578.4
DF;573.3
RN;401.7
RN;
PB;
SC;557.1
MG;
PR;
SP;
RS;374.8
PB;
PA;
SE;
AL;511.1
AL;455.9
SE;864.7
MA;452.6
MT;506.7
PE;
BA;
RJ;659.5
DF;732.6
BA;
AC;454.4
PA;438.9
RJ;604.0
PA;
AP;
PA;381.8
MA;459.3
RS;
PA;
PE;587.8
SP;394.5
PR;484.7
SP;584.7
MG;634.0
AC;
BA;394.7
PR;
CE;601.8
RJ;562.5
BA;
RJ;
PA;
MG;551.6
SP;416.7
MT;
RS;427.6
PR;601.6
MG;469.1
RJ;
SP;
PE;531.4
RJ;448.9
BA;526.6
BA;414.5
SP;379.7
SE;657.1
TO;580.7
SP;
BA;609.5
CE;345.7
PR;336.9
PE;
SE;471.1
PE;420.3
PE;445.4
CE;
MG;
SP;678.7
SP;431.4
PA;418.1
DF;372.0
SE;367.7
CE;581.9
RJ;
SP;615.9
SE;514.9
GO;
BA;586.0
MA;
RJ;462.1
RJ;522.1
RS;
PA;
PA;613.3
BA;574.4
ES;437.6
PR;
AC;
ES;
ES;464.2
RO;
PA;464.7
MG;
AL;
AP;
RS;407.9
PB;608.9
PR;402.8
SP;500.3
RJ;508.6
PA;
SP;441.9
PI;577.8
RS;536.7
PA;637.3
RJ;
RJ;
PR;
AM;371.9
BA;
PA;
BA;
RJ;
PE;593.6
AM;399.5
MT;387.2
MA;430.6
BA;
SE;
RS;574.5
SP;527.5
PI;
PB;473.5
RJ;654.3
RJ;558.5
AC;417.1
SE;424.6
MA;501.0
TO;
ES;451.2
PE;
CE;750.8
SE;364.9
PA;
MA;
BA;382.5
PI;399.8
PA;443.4
AM;358.9
BA;386.8
AL;536.3
MG;471.9
AC;562.1
PE;375.5
MG;378.5
BA;
MA;
SP;
SP;478.7
PA;576.0
PE;
MT;
SP;425.3
BA;444.9
AL;
AM;
PR;521.9
PR;
PA;400.4
MT;396.8
SP;
GO;384.3
PA;
RJ;
PA;
PR;
AM;
AM;393.1
RS;442.5
PB;569.0
AM;689.7
SP;
PA;457.9
SE;
RJ;530.9
PR;512.8
SP;688.3
AC;588.0
PE;359.0
DF;
PA;464.5
AP;432.3
MS;410.9
RS;
SC;453.2
BA;627.8
BA;488.6
MT;370.0
RJ;517.3
RO;407.7
AL;425.9
BA;445.8
SP;662.7
MG;408.4
BA;
PA;
CE;425.9
RJ;460.8
SE;497.0
RJ;773.4
CE;
BA;
RJ;
AC;
RJ;
SP;633.6
RJ;
AC;397.4
BA;728.6
RS;596.2
SP;
PB;476.3
DF;652.6
PA;
GO;
GO;529.4
PB;481.6
PE;636.0
SP;784.3
AL;465.3
RJ;661.7
MA;479.1
BA;441.9
CE;346.9
MS;
PR;563.3
CE;505.7
CE;666.4
RJ;347.3
CE;
PA;
SP;
TO;
PE;709.3
AL;402.0
GO;
MG;578.7
PE;
MT;
SC;629.8
PE;
MA;443.5
MA;372.0
SP;769.7
SP;
AC;
SP;
PA;397.5
MT;403.5
SP;
SE;428.0
PE;
MA;
RJ;447.1
RN;649.4
BA;470.1
SP;343.6
RJ;473.2
PE;446.2
PI;758.7
AP;
PE;563.5
SP;
SC;569.4
RR;
CE;
SP;
SP;427.7
MA;407.2
SP;611.5
SC;
BA;420.3
RJ;515.7
MG;
RJ;504.1
AM;
MG;491.0
RJ;507.0
MG;
PA;442.2
SP;
BA;435.2
PE;
BA;645.8
MG;415.5
MA;470.9
RS;
RS;
SE;493.9
AL;484.4
PE;600.4
BA;
RS;603.0
SP;
PE;398.6
MA;484.7
AM;405.9
ES;535.4
RS;595.0
RS;456.2
SP;
MG;
PB;478.9
PE;430.5
RN;
BA;435.6
MG;675.4
MT;502.1
PE;
MT;470.9
PA;420.9
RJ;488.3
RS;
SP;619.6
PA;445.6
PI;
AC;373.0
MS;436.0
CE;471.6
PE;622.2
PB;508.1
PE;
PA;
PA;528.8
PA;415.0
BA;443.5
PI;374.0
AC;
RS;594.4
RS;
AL;447.7
AL;462.5
PB;582.4
BA;
BA;399.4
AC;
AC;
PB;711.7
RJ;
BA;591.6
BA;552.2
CE;
MG;
ES;524.9
RJ;564.0
PE;
PB;
RN;574.1
SP;563.8
BA;519.7
MG;496.7
RN;
GO;450.3
PE;677.2
RJ;438.1
SP;425.7
SP;588.3
PA;380.6
SP;
MG;477.2
PA;
PA;463.1
PA;391.3
MS;505.4
BA;
CE;617.5
MS;
SP;
SC;689.3
MG;
SP;
SE;
MA;
PB;455.3
RJ;554.2
PR;563.0
MG;579.1
SP;
RS;606.4
RS;
MG;
MG;471.6
PA;
RJ;
SP;
RJ;
SP;617.0
MS;
CE;456.2
RJ;720.0
RJ;503.1
BA;
SP;
SP;582.4
PE;386.9
MT;428.2
CE;
PA;
SP;
SC;
RS;
PE;447.1
SP;370.0
RJ;727.6
AM;466.5
PA;747.3
AL;464.5
MG;
RS;
DF;475.6
PA;
CE;490.3
SP;
RJ;
PA;496.2
BA;
PE;392.1
BA;371.9
SE;
RS;
SP;
SE;400.8
PA;476.5
AM;
AM;374.1
GO;679.6
CE;401.8
RS;724.7
PA;419.8
MT;
SE;526.8
SE;
BA;358.0
RJ;374.0
SP;664.4
BA;764.1
SP;468.5
CE;638.3
RN;565.2
PA;
RN;
DF;500.7
MA;638.0
BA;
GO;574.3
CE;
PA;
RJ;413.8
BA;534.0
SP;745.3
RJ;675.4
SP;
MA;388.6
MS;
PA;410.7
PE;
SE;
SP;
BA;516.0
PB;349.6
RJ;
PR;444.1
PE;695.8
SE;389.5
BA;444.5
SP;565.7
RR;565.0
PE;489.4
PA;
PB;656.0
SP;
AL;533.0
PE;
MG;598.0
MT;
BA;
AM;
BA;472.3
RS;659.9
SP;808.2
SP;
RR;
RS;901.3
PA;
PB;502.0
AL;479.1
PB;
SP;491.6
PE;
SC;429.1
RJ;517.7
ES;
MG;604.3
RJ;454.1
RJ;
PA;376.4
PB;622.4
MA;374.9
CE;513.0
RS;529.6
RN;513.6
GO;409.9
PA;
CE;552.5
MG;
MG;641.9
PA;
MS;586.1
PE;385.4
TO;
RS;
RS;
PI;411.2
PB;440.2
RJ;582.1
PE;
MS;
RN;
CE;624.9
PB;390.8
AM;
AL;477.7
PE;474.4
PE;397.5
PE;588.9
BA;469.5
GO;
PR;535.6
PE;421.5
GO;
AM;
BA;603.1
MA;349.2
AM;387.1
BA;
RJ;
RJ;554.9
MA;
PB;368.9
PB;400.0
RN;531.6
DF;514.7
RJ;
SE;
BA;389.7
PR;441.2
RJ;441.8
PB;442.5
AL;468.2
BA;353.3
PE;608.9
RN;484.6
GO;364.6
PA;
AM;514.2
SP;659.0
PA;586.9
PA;
RS;488.0
SP;543.5
PB;608.9
SC;
PE;493.0
BA;802.7
MG;678.7
MA;
PE;687.0
SE;571.5
SP;767.3
BA;530.6
SP;
PB;407.0
PA;355.2
RS;444.2
BA;
RJ;
MG;460.7
PI;
BA;432.8
SP;516.6
SP;
MG;519.5
SP;531.0
GO;505.7
BA;482.4
RR;391.0
PB;353.9
MT;
PB;
MA;497.0
RN;
MT;
PR;775.2
CE;
GO;491.4
MG;365.3
PE;
PE;
PE;384.0
SP;472.2
PE;
BA;509.5
PR;
MS;379.1
SP;479.8
AC;546.2
MG;631.7
PI;500.8
MG;386.1
MA;403.5
GO;492.9
BA;469.9
RO;488.4
BA;
PB;
PI;429.8
PE;592.9
MG;605.2
MT;470.5
SP;
BA;365.9
RJ;
GO;
RN;383.5
RJ;697.4
GO;
PI;592.4
SP;
ES;594.2
MA;
PA;481.4
PA;363.5
SP;
MG;
PR;535.1
RJ;439.7
MS;410.2
MA;
PB;
PA;358.4
SC;
PB;403.5
CE;651.8
RJ;377.1
RN;621.4
BA;398.9
MG;445.2
MG;490.4
BA;
MA;
BA;
BA;
PA;408.6
BA;
SP;
SP;
PE;451.1
CE;592.3
CE;371.9
CE;
RJ;443.4
GO;474.7
SC;
AL;400.5
RJ;
SP;588.4
MA;460.2
AP;380.8
RN;403.6
PR;470.5
PA;
RS;386.4
BA;
RJ;
AP;434.6
PA;
MG;589.7
SP;
ES;698.8
SP;
RJ;
PA;
PA;363.0
PI;491.4
SP;634.1
PA;458.8
BA;434.1
PE;464.1
MA;
RS;
MG;
SP;
RS;370.3
AM;541.1
PA;
SE;578.8
BA;
PE;523.3
RJ;
SP;
BA;435.5
CE;513.8
SP;345.6
PA;
SP;
SP;
SE;367.7
RJ;444.8
SC;
MG;
AM;
SP;
SP;
PE;
BA;419.8
PE;
SP;
PB;419.0
PI;
PB;347.3
BA;408.8
AL;392.4
PB;
PR;
AM;
DF;500.4
MT;503.0
PE;
ES;426.0
PR;542.7
PE;673.1
GO;
PE;
GO;531.0
RJ;407.1
PA;507.0
ES;
RO;617.9
ES;
RJ;
BA;394.6
BA;573.2
PA;
RJ;
RS;517.6
SC;745.0
AC;
BA;678.7
RJ;575.0
SP;367.6
PA;
CE;
MG;501.7
SP;441.8
PA;501.6
SP;464.1
MA;
AM;356.5
BA;393.2
SP;453.4
MA;513.9
PR;
AL;513.2
RN;391.1
SP;566.9
SP;340.0
RO;419.1
MG;
ES;467.1
RS;558.2
MS;
MA;431.8
RS;419.6
PR;
RS;470.0
RJ;
CE;550.1
AM;616.3
AC;
SC;759.1
AM;474.4
CE;440.0
RJ;
MS;
CE;582.1
PA;886.3
PB;499.2
BA;
BA;514.6
PA;401.6
GO;424.1
PE;459.5
PE;390.4
BA;671.3
SP;458.2
MA;
RR;736.7
SP;
SP;
SP;
RJ;
PE;696.6
RJ;485.6
SP;
MG;
RS;
BA;440.2
AM;
SP;556.4
PI;379.0
AP;
PA;597.6
SP;588.0
PE;
RS;
ES;553.1
PI;
SC;
SP;418.0
PA;474.1
RJ;512.2
AM;433.0
PE;574.7
BA;
MA;
MT;
MG;
SP;
MG;578.0
PB;482.6
CE;437.2
SC;
PB;
SP;614.4
RJ;
PE;483.5
AP;401.1
PA;425.1
AP;480.0
RO;
CE;502.9
MG;
DF;537.7
RS;572.5
RN;430.3
AM;
SP;502.8
MA;684.1
GO;463.7
MS;549.9
AL;542.1
MT;658.8
MA;
SP;
AC;
MS;
SP;545.4
MT;555.7
CE;
SE;561.5
RN;570.4
SP;
ES;520.8
SP;
RJ;446.2
SP;
MA;367.1
PB;440.6
MS;427.0
MG;438.7
PB;438.1
RJ;399.0
MG;398.0
MG;
PA;
DF;591.4
SP;
RJ;404.9
SP;539.7
PA;
PI;662.4
PE;
PR;
CE;
BA;390.4
PE;485.3
PI;362.1
PA;
PA;392.9
RJ;566.6
PA;
RJ;421.0
MA;366.0
MA;
PR;
DF;450.0
PI;595.6
PB;635.2
BA;402.6
PR;
PA;383.3
RJ;404.4
SP;403.3
BA;394.7
RS;381.3
BA;593.1
RJ;407.6
MA;441.8
RN;566.5
BA;549.3
SP;
AC;561.3
PR;388.2
RS;699.8
PA;513.6
RS;
CE;410.0
RN;
RJ;474.4
PA;511.2
RN;533.9
RJ;
BA;412.2
PA;482.7
PI;342.1
SP;
MA;439.5
BA;627.6
AP;491.9
MT;410.1
RR;
SP;449.1
RN;539.5
DF;579.7
BA;
RN;505.5
MA;388.4
SP;615.4
SP;
RJ;680.5
PA;
SP;408.5
PA;497.2
PA;486.1
SE;
MG;
BA;442.6
AM;502.0
PA;376.3
PR;467.4
CE;570.8
RJ;
RJ;
RJ;450.5
GO;663.9
AM;
BA;502.8
BA;560.3
AP;418.5
PR;
SE;878.4
AC;586.3
MG;
BA;432.9
SP;
RJ;473.2
RJ;371.7
MG;
MA;
CE;562.3
PA;570.0
MT;505.4
BA;
MG;
AC;
SP;531.7
PB;422.0
AM;
BA;484.2
SP;654.6
PI;396.1
PA;553.9
BA;504.2
RS;400.3
SP;469.7
RN;436.5
RS;567.0
MT;427.3
SP;378.5
AC;
CE;
PR;629.7
SP;378.2
PE;
PB;
AL;547.0
RJ;647.3
AM;
SE;445.7
MG;445.3
RJ;350.3
MA;
BA;429.1
PI;
PA;553.3
PE;
MA;697.7
SE;600.4
RS;
PE;552.3
RN;
AL;
PI;753.0
PE;
BA;400.1
PA;
MG;
RJ;
RS;514.7
PA;
GO;685.7
SP;
RJ;528.1
SP;574.0
SE;431.5
SP;
RJ;400.0
RS;
RJ;520.2
RJ;398.5
MG;535.1
RJ;550.0
SP;
ES;403.2
AC;567.8
BA;
PE;538.7
RJ;543.1
PI;365.9
PR;
RS;639.5
MG;503.8
RJ;
MG;454.3
RJ;649.4
PA;505.2
MT;356.2
CE;625.7
BA;552.9
RJ;429.6
RJ;509.0
GO;
RS;
BA;415.2
SP;609.8
AC;363.7
PB;610.6
RJ;437.9
PA;418.4
RJ;
BA;365.4
RS;
PA;
BA;
MG;
AM;423.4
BA;537.5
PR;578.9
PA;576.0
PA;
RJ;
PE;657.3
GO;
RJ;392.5
SP;559.4
PR;641.1
AM;
DF;
PE;
MA;
SP;736.8
PR;
RO;520.7
SP;606.3
PE;499.9
AM;
PE;
PA;482.8
CE;
MG;807.3
PA;525.4
CE;485.6
PA;356.6
PA;
SP;375.5
RJ;
GO;
RN;470.9
SE;725.8
BA;
SP;529.6
MG;
CE;
PE;583.5
PA;632.0
RN;525.9
PA;
AM;
MG;
GO;425.9
TO;397.5
MG;534.9
SP;539.9
AM;384.7
RN;408.0
RJ;
BA;
ES;382.8
TO;441.2
MT;
PA;
BA;
MA;
MG;479.9
DF;
DF;
BA;
SP;510.4
GO;467.4
RJ;494.7
AM;605.9
CE;
MA;354.5
GO;573.9
RJ;400.5
SP;570.7
MG;748.9
AM;
PA;423.8
PA;390.0
BA;499.4
PA;
SP;607.9
BA;419.2
RJ;655.9
RJ;385.2
PB;404.1
PR;
SP;504.3
GO;706.7
DF;
MT;516.0
BA;386.7
AM;
RJ;581.6
GO;
PR;377.6
PA;507.6
AL;
PA;497.9
PE;394.2
PA;662.3
PB;469.5
PE;400.4
PB;
AM;428.6
PA;420.5
MA;
PR;
BA;632.4
SP;475.8
SE;484.7
RS;
BA;442.5
SP;430.9
AM;482.1
CE;
MG;
RJ;430.7
PI;666.5
SE;576.0
RJ;437.1
RS;499.7
RJ;
PA;
BA;415.5
PR;
RS;401.5
PR;
SP;
PA;
PA;358.3
RJ;430.3
RN;722.9
SP;567.9
PE;559.0
PI;
RS;494.3
PA;552.6
BA;
RS;466.7
SP;602.0
PI;389.3
BA;373.6
RJ;450.1
MT;601.4
RS;
RJ;570.9
MG;
RR;409.5
SP;
PR;
PI;649.5
ES;427.6
PA;459.3
BA;427.8
BA;570.9
RJ;660.1
SP;
SP;
MA;
PE;451.4
AM;435.6
RJ;
AM;
SP;404.3
RJ;614.1
RJ;432.4
SE;
ES;575.3
MG;633.0
SP;
RJ;457.1
CE;514.4
RJ;
SP;
BA;714.5
BA;
AP;
RN;
AC;
DF;
SP;430.4
PB;486.9
MA;
CE;492.9
RJ;643.7
PR;618.6
BA;577.8
BA;481.6
SP;613.4
GO;516.3
MA;
CE;622.7
BA;510.9
RJ;610.3
RJ;
PE;
SP;
PA;
PR;534.3
RN;388.8
RJ;570.6
SP;427.3
RJ;
ES;715.8
MA;458.4
PI;499.6
SP;590.7
PE;546.4
PE;503.7
TO;604.5
PA;564.6
PB;
PA;
MT;449.2
CE;579.0
BA;459.4
RS;402.3
PB;
PA;
BA;482.0
MS;550.3
RJ;
RJ;
BA;
PE;
PA;
BA;595.3
CE;
CE;
MA;461.7
DF;685.6
SP;515.1
PB;660.7
SE;554.9
PA;
MT;442.1
RJ;
RN;
MG;678.2
DF;517.0
GO;654.2
SP;582.3
AM;
MT;362.6
AM;
RJ;842.8
MT;
SP;561.8
PI;494.8
SC;
RO;
PE;529.5
PE;
PE;721.4
BA;
SP;552.0
BA;739.3
RN;
GO;400.9
PA;534.6
RO;
RJ;712.8
BA;
MG;613.9
AL;631.9
BA;
CE;666.7
CE;607.5
RS;474.6
MG;531.2
PA;
MS;611.2
ES;
PA;416.6
BA;530.7
MT;437.4
PR;
SP;418.4
AM;
SE;808.3
MT;446.2
SE;608.1
AM;457.5
SE;657.0
PE;463.0
RJ;
SP;
CE;461.0
PA;405.1
BA;426.1
SP;
RO;453.0
RN;
PR;375.9
BA;433.2
MG;503.5
CE;536.7
BA;515.1
SP;
RJ;563.3
GO;512.5
RJ;447.5
PA;592.8
AM;
RJ;
SP;489.4
SP;651.3
SP;705.6
RN;566.5
RJ;466.3
SP;
AM;
AM;371.5
BA;
SP;488.3
PE;651.0
BA;434.5
GO;472.0
AP;565.3
RJ;399.7
MA;
DF;
RJ;
SP;413.1
RO;412.5
MG;358.5
MA;425.2
AM;471.6
BA;532.3
BA;779.0
ES;461.5
BA;462.4
MG;612.8
PE;642.9
PA;463.2
BA;
RJ;413.3
SP;
PE;465.4
PR;
SP;
RJ;588.8
BA;
RJ;
BA;
GO;
MA;
AL;581.3
PA;
RJ;466.3
DF;746.3
MG;558.6
PA;
PA;634.8
SP;495.9
MA;
SC;
AP;
BA;406.4
RJ;390.8
PA;457.0
SE;568.0
CE;
AM;561.6
PI;
DF;
PA;439.3
MA;
PB;515.3
PI;512.1
SC;
AL;
MT;456.7
SP;
MA;432.0
AM;452.3
MG;363.8
BA;
MS;464.8
SP;607.2
BA;539.8
BA;
PA;
PA;445.6
PI;558.6
PI;462.6
MT;
SP;663.9
PA;353.1
SC;368.4
BA;565.2
SE;562.2
RN;461.8
PR;574.7
MG;607.0
CE;529.3
RJ;
MS;
PE;413.4
RO;642.6
PB;580.4
RJ;393.1
ES;
SP;731.3
SP;493.5
RJ;378.9
RJ;584.1
BA;
AL;433.8
BA;461.4
DF;488.1
AL;732.7
BA;374.8
PB;566.6
PR;
SP;649.4
AP;
PR;
RJ;365.7
PA;465.8
PI;391.3
PR;477.9
PE;575.9
BA;
RJ;499.7
RS;573.6
MG;
RJ;
RJ;584.1
PB;618.5
BA;447.7
CE;601.7
BA;471.0
PE;383.2
BA;501.3
MG;
PA;349.2
MT;469.3
TO;
MT;
SP;
RS;564.0
PI;
AM;456.0
BA;
RJ;387.3
MA;
RN;
SE;418.1
RN;659.0
RS;550.0
RO;
BA;
CE;455.2
MG;638.8
AP;390.1
GO;363.6
AM;461.6
SC;
PA;563.5
AM;638.4
PE;559.2
SP;370.9
CE;797.9
MG;
GO;677.4
AP;498.2
RJ;
RN;474.8
PE;432.0
AM;445.7
MG;
PA;614.4
PA;547.3
RN;432.7
PA;
PB;
PA;751.3
PA;881.4
AL;593.9
MT;
AM;
PB;569.1
RJ;612.9
SP;
SP;582.5
SC;
PA;515.4
PR;497.8
RJ;
RJ;678.5
RJ;410.3
SC;391.3
BA;621.0
MG;707.4
RJ;339.3
SP;
BA;566.5
RJ;540.3
PA;603.9
RS;
AL;407.2
MS;407.0
RO;422.5
MA;447.1
BA;432.6
RJ;401.4
SP;624.8
RN;633.5
AP;345.1
TO;435.3
BA;586.2
RJ;503.9
RJ;466.1
BA;
PB;406.1
BA;444.9
PE;405.1
MT;
PA;
PA;427.0
PB;440.8
GO;
AC;443.6
MG;
PA;506.0
SC;460.5
RJ;
AM;570.0
MA;
RS;463.4
MT;461.6
AC;460.0
SP;473.1
SP;511.0
PR;
SP;489.1
SP;768.6
RJ;456.6
PR;448.5
SP;
ES;414.1
PA;417.1
PR;449.4
PA;420.6
ES;642.8
BA;
SP;
SE;600.2
RJ;656.1
BA;
RO;
BA;657.8
MS;769.4
CE;
PA;
RJ;531.7
