SG_UF_PROVA;NU_NOTA_MT
GO;527.4
PE;
MG;
RN;635.6
SE;
PI;423.5
PE;
PI;
BA;
RJ;513.8
RJ;
SP;
SP;564.2
PI;588.9
BA;
SP;445.4
PA;
SE;397.7
PE;397.0
RJ;533.9
MG;389.9
AM;581.8
SP;547.0
RJ;437.2
BA;
SP;
CE;678.6
CE;736.8
BA;580.6
PB;
RO;566.1
BA;
CE;424.4
PA;360.8
PE;
RJ;560.3
CE;
PI;454.1
PI;444.3
MA;415.5
RN;393.1
PI;392.2
ES;544.9
SP;569.5
PE;
RN;418.8
AC;
TO;462.9
PE;442.3
MG;399.4
BA;577.9
AP;
PA;685.9
GO;
CE;
PB;588.5
SP;561.1
GO;481.7
PA;
SP;
PA;
PA;
PB;648.8
SE;584.9
RJ;531.3
RS;525.4
PE;759.9
SP;
ES;
BA;
PB;
CE;475.3
CE;543.2
PE;473.7
SP;
CE;
PE;397.0
SP;
MG;685.5
MA;609.4
RJ;403.6
PE;
BA;
SP;443.2
PI;488.8
BA;379.0
MA;332.9
SP;
RS;
MG;531.0
PI;452.8
MG;609.4
RN;546.2
RJ;592.5
PB;
MS;
CE;459.9
MA;
SE;399.6
RJ;459.7
SP;
PE;
SE;418.0
SP;558.6
RJ;392.7
SE;635.9
GO;
RN;532.5
CE;653.6
SP;430.5
CE;439.0
SP;796.6
PE;648.0
SP;597.5
RJ;584.8
BA;
CE;375.2
SE;619.3
PR;
BA;567.0
GO;580.7
RJ;
RJ;
MG;
GO;
PI;622.9
MS;536.8
CE;
BA;652.8
RJ;
RJ;693.9
PB;
SP;
AC;
PE;495.2
MG;463.7
RN;
BA;
AM;507.7
PI;
GO;
SE;382.5
PB;
PB;476.5
MG;535.5
BA;
MG;606.5
SP;
MG;768.0
MG;
PE;
RO;389.1
RJ;558.5
BA;414.3
CE;
SP;
SP;413.3
MA;545.6
PR;539.1
SE;791.0
RJ;498.1
PA;454.2
MT;375.9
RJ;436.7
SP;
MG;627.8
SP;466.0
PE;
PE;438.5
TO;
BA;
PA;
BA;
SP;530.5
SP;716.3
RJ;535.3
SP;444.5
MG;
BA;537.6
GO;594.9
PI;
PA;340.2
BA;490.7
BA;678.8
BA;454.4
SP;421.2
RJ;562.8
PB;
SE;
MG;
RN;486.2
PR;479.2
MA;655.7
PR;
GO;619.7
PE;748.8
MG;
DF;464.1
RJ;
CE;577.9
SP;374.8
PE;
CE;451.7
CE;479.2
PA;659.0
CE;458.5
RJ;
SP;
SE;
ES;
BA;734.3
RO;
RN;372.7
SP;
RN;398.1
PA;365.3
PE;
PB;
PA;478.0
ES;
CE;400.2
PI;659.3
RJ;656.4
RJ;483.7
PI;357.8
SP;
SP;684.3
GO;
CE;
PB;656.5
ES;487.5
PE;485.9
MA;505.5
MA;
RN;
SP;
SP;472.8
BA;
BA;473.1
SP;700.3
RN;
BA;621.9
CE;706.8
PB;444.9
SE;479.8
RJ;
RJ;371.4
CE;
AM;
GO;346.2
CE;518.4
RN;481.2
MT;
AC;
PR;
MG;420.5
CE;410.9
CE;
GO;
PA;421.1
RN;506.9
MA;506.4
CE;
PA;442.4
CE;
PR;
SP;843.7
RJ;592.1
RJ;
MA;414.7
SP;
SP;
SE;500.8
MG;537.6
GO;
TO;
RJ;393.8
PR;
PI;582.6
CE;
CE;700.1
PA;476.5
PR;
PR;453.4
CE;
PI;755.3
PE;387.7
PE;
CE;452.4
SE;442.1
BA;395.6
RJ;490.3
CE;
MG;
MA;495.7
SP;
SE;
MG;430.5
SP;
PA;398.5
BA;
RS;442.3
RN;456.4
BA;
RJ;
SP;599.7
BA;
CE;465.9
MG;
PE;
PR;446.8
SP;475.6
CE;903.9
MG;
MA;359.4
RN;628.1
BA;347.1
PB;381.5
SP;
MG;
PA;390.7
MG;
RS;470.7
SE;583.4
GO;502.5
PI;455.8
PE;
RJ;
AM;
SP;368.4
GO;
BA;
PA;403.3
SP;420.5
SP;
PR;
RN;618.4
SP;
MA;
BA;455.6
PE;
PE;544.1
SE;365.0
TO;541.1
SP;
RN;
ES;470.4
CE;372.5
PB;583.3
RS;
AM;
SP;
PE;723.0
AL;370.2
BA;
SP;
SP;483.0
DF;
RN;
PR;
MG;431.9
PE;525.0
PE;544.3
BA;591.8
CE;
MG;
BA;595.0
PB;463.4
PE;574.7
PR;
CE;349.2
ES;
PR;
PA;600.2
MG;473.0
AC;479.9
TO;489.5
SP;
MG;
MA;477.0
BA;
DF;404.9
BA;
PE;473.8
PE;422.0
RO;
AL;
SP;585.8
BA;631.0
SP;
PI;
CE;623.8
GO;409.2
RN;386.2
TO;393.0
SE;426.7
SP;601.5
MG;393.0
MA;
MG;508.5
PR;503.1
SP;427.5
CE;361.6
CE;337.6
SE;
MG;652.7
BA;357.3
PI;392.5
BA;
RN;
MA;
SE;
PA;
MG;
RJ;
SP;
PB;555.7
SP;439.6
RN;
CE;643.6
DF;
BA;713.8
PR;348.9
PE;344.7
RN;371.6
RO;
MA;
SP;
CE;383.1
GO;582.2
PE;
SP;627.0
CE;
AC;
PE;489.6
PE;492.1
MA;
RJ;
SP;378.8
AM;
SE;389.0
BA;
SP;
AL;
CE;645.1
SP;
AL;
MG;
PE;380.1
SE;
AL;
DF;
PA;521.8
SE;432.6
BA;
PI;401.4
RS;
MG;422.7
SP;544.5
PA;
PE;459.8
MG;
RJ;590.6
BA;403.4
RS;
PB;725.2
CE;437.7
PR;
SE;338.3
PA;375.5
BA;
MS;
RN;364.3
SP;
MG;
AM;602.6
SP;
MG;
RR;
SP;
RN;465.0
RO;
PA;
BA;
BA;392.8
RS;429.6
SP;
PB;
MA;
RJ;
CE;
PI;508.4
SE;737.0
RN;495.1
BA;393.1
RS;
RN;490.9
SP;
ES;
CE;
PA;533.2
BA;505.7
SP;515.7
RN;369.0
RJ;
MA;419.4
BA;441.7
CE;462.7
PA;388.5
SP;
PR;371.0
CE;618.9
CE;557.3
PA;
PA;
PA;
AP;
MT;426.6
RJ;
MA;459.0
RN;450.3
SP;
PR;484.6
BA;412.9
CE;
PE;515.1
BA;500.5
SP;366.8
SP;
CE;432.2
SC;
MA;
SC;666.8
BA;469.1
SP;
AC;558.5
RN;
BA;568.7
GO;
MG;637.8
AM;378.4
MA;616.7
RJ;469.6
MA;520.5
TO;622.4
GO;567.0
PA;427.2
SE;
RN;599.0
RJ;415.2
SP;388.5
PE;
RN;615.4
CE;
PB;557.7
PE;633.1
RS;
CE;650.2
SP;544.9
MG;
MA;588.3
SP;
MG;776.1
MG;745.4
PB;540.7
SP;446.9
RS;
PI;
MA;380.4
RJ;479.8
AM;392.4
TO;
MG;486.6
BA;593.9
CE;
MG;612.7
PB;479.0
AP;
SE;
SP;
MG;
MG;
BA;333.8
PE;445.7
MG;567.3
SP;503.6
PE;448.4
BA;
MG;593.4
MG;590.6
PI;565.8
CE;544.4
SP;854.0
SE;
GO;621.6
SP;
MS;
MA;
PB;429.0
CE;401.4
CE;
PA;
PE;
MG;
SP;
SE;660.6
RJ;468.9
BA;549.9
RS;
MG;
SP;429.8
AL;
MT;407.3
MG;
PE;
PA;418.4
MA;516.2
MA;491.4
SP;
PA;532.4
RN;544.2
BA;
SP;446.2
BA;627.7
ES;835.1
SP;687.1
CE;726.6
MG;464.0
MG;
BA;
PE;508.3
GO;
PE;555.4
BA;612.9
RJ;426.0
MG;498.1
CE;566.4
RJ;
SP;486.2
RJ;
CE;530.6
CE;553.2
RS;
PB;560.1
PI;525.7
BA;
PE;
CE;
CE;
CE;623.5
CE;355.4
MA;660.0
SP;
PR;
MG;751.4
RJ;
PB;632.1
BA;371.2
SP;
MG;441.5
SP;
MG;
CE;443.4
MG;660.2
CE;
CE;578.0
SP;393.6
PR;
RS;
SC;479.9
PB;432.2
MG;481.1
CE;407.9
BA;510.9
PB;615.4
RN;722.2
BA;444.4
MA;
RJ;340.3
AL;
PR;
PE;
MA;329.4
BA;374.7
PB;627.8
PA;440.0
SP;420.8
PI;341.7
PR;475.7
BA;
CE;520.5
BA;
CE;
GO;
CE;
PB;365.9
MA;
MG;
SP;
PA;517.8
SP;700.7
SE;464.1
BA;
GO;
CE;633.3
MT;
RN;604.3
ES;
RJ;
PB;
SP;414.2
BA;
RN;688.0
CE;
BA;612.4
BA;435.5
PI;449.5
CE;
CE;
DF;425.8
SP;650.1
MG;649.1
PE;473.9
SP;
CE;
SP;559.4
PI;563.3
SE;660.1
PA;
GO;
CE;
PR;
MG;
PE;807.4
BA;
RJ;553.8
SP;
MA;492.6
MG;642.6
MA;400.2
TO;
RS;442.2
GO;419.9
PE;494.5
ES;
BA;
CE;
CE;
MG;482.1
MG;
BA;
ES;555.9
MG;456.9
MG;
SE;397.4
BA;420.0
PR;479.6
SP;516.3
CE;602.4
AL;351.4
RJ;453.3
PI;588.3
MG;
CE;397.2
MT;
AP;514.9
RN;452.2
PI;578.3
MA;703.3
BA;
PB;
SC;
RJ;
PI;
RJ;577.1
BA;
SE;444.2
SP;473.0
PI;
AL;
RJ;406.5
RN;754.9
PI;677.7
CE;450.7
AM;
BA;465.5
RN;503.5
MG;757.2
PE;
SP;437.8
AL;
AM;
RN;
BA;
MT;
SC;
SP;524.8
SE;486.6
RS;
AM;400.5
BA;
MG;473.1
BA;655.7
PE;
PA;
CE;749.4
GO;
SP;
MG;606.0
BA;573.9
GO;424.3
RJ;
RR;366.1
BA;
BA;432.7
PB;435.7
ES;738.4
PB;
MG;
MG;459.0
PE;
RJ;
SP;510.1
PA;475.1
GO;406.5
CE;613.2
SE;
MG;569.7
GO;706.4
RS;
RJ;421.2
RJ;678.8
SP;407.5
RJ;643.8
RJ;488.4
MG;
RJ;
PB;550.0
MT;431.8
SE;667.8
MG;684.2
CE;
BA;447.2
MG;647.6
PI;646.1
PR;
RS;555.9
ES;503.2
MA;464.4
MG;
PI;697.2
GO;408.7
PE;
MG;
DF;
PI;405.3
PA;424.9
SC;
CE;660.2
SP;608.4
BA;465.3
DF;522.9
RS;502.2
RJ;410.1
SP;
CE;605.3
RJ;
ES;
AL;526.6
PE;606.6
PR;
MG;
CE;
PB;509.5
PA;359.1
MG;581.3
PB;466.0
MG;812.5
MA;349.0
PR;606.1
PE;831.2
SP;
SP;330.9
MG;396.6
GO;555.1
SP;
CE;
SP;
CE;
CE;578.8
MG;551.5
BA;
SP;566.2
RJ;
PE;
AL;
RJ;442.5
SP;825.1
SP;341.9
MG;569.0
PR;
MG;577.3
SP;440.8
PE;556.2
MG;
GO;
RN;485.0
MG;430.4
GO;
MG;677.9
PB;664.3
SP;
BA;411.7
SP;
DF;506.7
CE;
SP;
PB;
RS;547.9
DF;
MG;
CE;
MG;594.5
SP;500.5
PE;
SP;456.8
PE;592.0
MT;
SP;
PB;628.4
BA;
PB;695.1
MG;
PE;506.3
SP;547.0
PB;
SP;559.4
SP;622.7
SP;686.8
SP;
MG;
GO;599.6
PI;435.4
SP;
MA;587.3
GO;431.4
PR;524.4
SE;457.5
DF;610.1
PE;723.9
RJ;
PA;
SP;398.3
MA;549.7
GO;368.2
AM;
SP;727.4
DF;468.6
TO;667.8
SP;659.2
PI;
MG;
PB;565.6
RS;
RS;529.1
PE;648.1
PE;389.9
PR;449.2
GO;
SP;
GO;427.5
RS;
RS;406.2
RO;
SP;
AP;
RS;362.0
MG;
DF;
BA;530.6
CE;
BA;464.4
MG;
PA;391.0
RJ;567.1
CE;588.5
PA;410.3
RJ;537.3
RN;
PA;485.9
SP;658.0
RS;
GO;
TO;394.8
BA;491.3
RJ;
PA;454.7
SP;
SP;
MG;
SP;392.2
PA;539.9
PR;552.4
RJ;413.9
AM;
SP;496.1
GO;
MT;374.2
PI;355.6
SP;
GO;
PA;596.3
MG;
SP;
BA;
BA;578.3
PA;456.2
CE;
BA;391.1
SP;
PE;492.7
MG;579.4
SP;
DF;487.1
RS;409.5
MG;742.5
SP;
SP;
PE;660.8
PE;527.1
RS;562.3
PA;475.0
RJ;
GO;607.5
PI;
RN;448.0
SE;481.8
RJ;
RJ;
MS;
BA;454.6
SP;633.1
PA;495.4
PB;411.3
RJ;
RJ;641.8
RJ;650.9
CE;613.7
PR;539.6
SP;524.6
RS;693.1
SE;568.5
SP;734.8
GO;
SC;594.1
SP;513.2
SP;395.9
SP;
RJ;386.2
SP;
RJ;
PI;468.0
BA;
PE;
AM;
MG;
RJ;738.6
AM;458.9
PI;539.1
PE;512.9
SP;
SP;
SP;
RJ;
GO;
SE;524.4
SC;618.4
MG;
DF;
MT;
MG;608.8
ES;440.9
RS;
PA;451.3
SP;
CE;694.2
PI;418.5
ES;410.1
MG;
RJ;459.2
PA;
PI;404.6
GO;477.2
RS;669.1
MG;559.8
SP;
PE;
RJ;500.0
PR;
SP;620.6
CE;693.2
CE;433.7
RJ;
CE;654.4
BA;
RJ;349.9
RJ;486.3
AM;673.7
CE;420.5
SP;
SC;411.8
MG;526.4
ES;468.2
CE;
CE;
SP;477.8
RN;538.5
TO;567.6
BA;398.6
RO;
DF;634.4
CE;428.7
SP;569.3
SP;507.4
RS;
CE;505.9
SC;
PE;340.8
SP;
RS;
SP;415.0
SP;
RJ;403.8
RS;718.9
PR;440.0
BA;488.0
MG;
CE;
SP;
AM;
PR;474.2
PE;526.5
RS;544.7
RJ;617.2
BA;438.9
PE;413.6
AM;
RJ;453.5
SC;
PR;
RJ;
MA;
RN;497.8
RJ;
PE;468.4
MA;440.1
SP;831.3
BA;595.1
SP;601.7
GO;
RN;686.9
AL;823.9
RJ;665.6
RN;413.9
PB;414.4
SP;623.4
BA;585.4
AM;
SP;
BA;491.2
SC;506.2
PB;425.9
BA;360.6
SP;
BA;445.8
PE;360.9
BA;513.8
AL;457.6
MG;440.3
MG;
RN;585.0
RJ;
TO;536.5
PB;757.9
MG;707.5
MG;501.5
PR;
MA;823.2
CE;761.5
PE;479.4
PI;529.9
MT;891.8
CE;665.5
MG;753.1
PA;
GO;
SP;584.9
MT;
SP;589.9
RJ;729.6
PR;547.8
MG;
SP;699.6
PR;
BA;709.5
PI;377.0
MG;
PE;538.8
PI;479.9
SP;
RJ;528.9
CE;384.7
PA;537.7
RN;
MG;634.2
PA;
CE;
PE;496.1
SP;570.7
PE;527.2
GO;
SP;540.3
CE;452.1
MG;
BA;
PA;414.2
GO;432.3
PE;
SP;589.9
MG;579.8
SP;425.5
RJ;383.7
PI;492.2
BA;
CE;
PR;534.1
RN;432.7
SP;
BA;
ES;630.4
AL;731.1
PR;
BA;
SP;
CE;
PR;394.2
PB;
RS;511.8
BA;537.9
MT;567.0
PA;
AM;
MG;
MG;782.0
AL;423.9
BA;558.7
PI;685.6
MG;568.6
GO;
CE;364.4
GO;616.9
MG;
MG;
SP;430.6
GO;
RJ;
MG;566.6
SP;
MG;653.0
RJ;599.9
MG;
BA;
RJ;525.1
AL;478.9
RS;
RJ;466.3
CE;458.5
SP;423.8
CE;
RJ;533.9
BA;
BA;458.5
RJ;670.0
SP;
AP;506.7
MG;
SP;626.2
DF;475.7
MG;485.7
MG;
ES;
RJ;508.4
PA;
AM;
RJ;
SC;573.3
MG;441.2
PE;
RJ;
GO;655.0
MG;669.5
SP;
SP;400.7
RJ;666.3
DF;589.7
DF;409.8
PA;
RJ;
BA;384.8
RJ;
RJ;
MG;
PA;639.2
SP;553.5
RJ;590.3
CE;538.0
DF;541.7
RJ;
RS;576.1
MA;
MG;631.5
RJ;647.7
GO;490.7
SP;
BA;510.1
MA;704.3
RJ;
BA;396.5
CE;436.4
MG;556.1
CE;391.5
PE;452.5
SP;437.2
PE;526.6
SC;
RJ;
GO;
CE;424.8
SP;
BA;486.3
SP;
BA;574.6
RS;
MT;366.2
AL;
PE;
MT;490.1
PA;390.7
SP;504.0
BA;
SP;
ES;728.8
SP;444.0
DF;
MG;
GO;
MG;
SC;
PE;
SP;368.4
CE;545.6
PE;476.7
BA;500.0
SP;614.2
RJ;
SC;453.5
PR;689.0
SP;361.4
PE;382.5
BA;
SP;335.2
PE;443.9
DF;648.0
PE;841.9
BA;627.3
PE;640.5
SE;
RN;
PB;437.8
SP;432.3
SE;750.5
SP;565.0
GO;552.1
SP;762.7
RN;
RJ;
AC;446.6
GO;
SP;521.6
PE;461.8
SP;638.4
PI;
AP;457.1
BA;475.3
SP;
PI;
MG;670.1
PR;745.7
MG;569.9
RJ;370.1
PE;422.3
RJ;
ES;
RJ;
PA;
SP;726.4
PB;491.8
PE;453.5
BA;
MG;
SP;
RJ;790.7
MG;569.1
CE;432.8
MG;732.3
MG;662.3
MG;
SC;
PA;
MA;
BA;
RJ;
PR;
MG;
RJ;
SP;624.3
DF;
DF;
SP;
RS;423.4
GO;611.2
MS;
SC;723.1
MG;442.4
SC;
DF;499.2
RJ;423.3
RJ;654.8
MG;562.0
PE;
DF;
SP;482.0
SP;632.4
CE;468.6
RJ;689.8
CE;518.8
CE;548.1
GO;467.5
SP;446.0
BA;412.0
RN;494.9
SP;569.5
SP;655.2
DF;368.4
BA;552.5
SP;716.0
SP;
SC;
PA;378.6
SC;
RN;669.0
PE;601.8
CE;
PA;334.5
RJ;436.1
RJ;
RJ;
RJ;
SP;
SP;426.5
SP;436.8
CE;
MS;
BA;519.4
GO;
MG;601.7
BA;
RJ;
MG;
RJ;421.4
MG;463.1
MG;520.3
SE;
PB;820.3
CE;
MG;411.0
RJ;424.5
PR;583.1
GO;
RS;716.5
MG;
MA;413.1
MG;373.0
BA;401.5
SP;685.2
GO;391.7
SP;
RS;422.3
SP;566.5
PR;614.9
RJ;617.8
CE;534.6
PB;
SC;
SP;775.5
PA;
BA;620.9
SP;
PA;554.4
PE;427.9
MG;608.5
GO;590.4
SP;
SP;
CE;340.3
PI;388.7
GO;563.3
PE;
PA;501.0
PI;495.2
RJ;
RN;
RS;
PE;364.6
BA;350.8
RJ;
RJ;405.2
SP;
MG;341.2
MG;663.3
MG;
TO;500.9
GO;
SP;495.5
MA;567.9
CE;
MG;398.4
RJ;459.6
MG;565.5
SC;
PA;523.8
CE;410.5
CE;681.1
MA;540.6
CE;391.4
BA;534.0
RS;
BA;413.5
BA;430.3
SC;
PE;594.3
RJ;
MS;
BA;
SP;502.2
PE;333.4
PB;
GO;
PE;534.7
RS;511.8
PR;
PB;452.3
MG;367.6
MG;559.9
SP;342.1
GO;541.8
BA;497.7
MG;508.6
SP;638.3
MG;
BA;
PR;536.2
MT;380.0
RJ;
RN;431.4
GO;579.9
PR;768.6
PE;490.4
MA;
PE;400.4
BA;448.2
PA;764.8
MG;455.3
MG;
PB;542.0
RS;578.7
GO;
PA;561.2
MG;
PA;
PR;519.4
CE;533.9
SP;365.8
MA;
PI;456.7
SP;
PA;427.7
SP;605.9
SP;
PR;692.2
SP;
BA;582.4
PI;411.6
MG;
GO;452.2
PB;563.8
SP;698.6
SP;
BA;783.3
SP;
SP;491.4
PR;538.7
RJ;552.4
SP;
PB;
RN;418.1
PA;
SP;
MG;446.5
CE;369.9
MG;486.8
SP;532.5
AL;532.9
RJ;436.0
CE;635.1
CE;604.7
CE;430.2
RJ;
GO;453.0
RR;410.8
SP;653.2
PE;440.8
PA;495.1
MG;428.4
RJ;850.1
GO;633.9
CE;587.0
PE;533.2
PB;
MA;368.1
MG;
PE;529.4
SP;
BA;
MG;728.9
CE;397.4
CE;449.2
GO;
PI;409.7
PR;
MG;
GO;480.4
RJ;
RJ;414.3
SP;
MS;
DF;411.9
MG;696.8
MG;646.8
PI;431.6
SP;379.6
RJ;
DF;487.5
SP;783.1
GO;
RS;597.0
BA;619.3
BA;
PB;650.9
MT;
PE;526.1
GO;
SP;
MG;649.7
MA;
PB;562.8
PE;
RJ;
RR;
MG;785.7
MG;718.8
SP;802.5
SP;714.4
SP;
MG;454.2
RJ;491.3
PR;427.2
RS;500.4
GO;
RS;
CE;467.5
PI;647.0
SP;419.3
PE;711.1
RS;444.3
SP;342.5
CE;
PB;
GO;430.2
PR;
CE;546.6
SC;700.7
RJ;
GO;774.4
RJ;
ES;428.4
PI;572.6
MA;532.1
MG;482.4
BA;598.5
PA;461.7
PE;454.7
BA;550.7
MG;
RJ;367.9
RJ;
RN;
CE;466.4
MA;659.5
PA;390.5
SP;538.4
PI;
RJ;
BA;416.3
GO;
RJ;767.9
PB;686.3
RJ;621.0
SP;
MG;451.0
RJ;874.0
ES;
RS;527.2
CE;587.4
RJ;798.6
SP;408.1
PE;681.3
PE;563.2
AM;
GO;417.7
RN;
SP;
SP;
CE;
AL;473.5
MG;
PB;340.9
MG;590.2
PA;384.7
RS;
SP;
BA;
BA;471.1
BA;455.1
DF;
CE;854.9
GO;427.3
PA;442.9
PA;546.1
PR;374.3
RS;
SE;499.3
SP;452.3
GO;379.6
BA;708.4
BA;608.9
CE;598.8
SE;
GO;449.3
ES;
SP;570.2
MG;806.5
SC;
MA;431.1
PR;457.7
PE;466.5
BA;
RJ;412.6
PE;382.4
MG;648.9
RS;
SE;646.0
PE;472.7
RJ;
PB;355.2
SP;
CE;584.6
SP;
MA;
PA;643.9
PE;
GO;
PE;571.2
SP;
GO;483.4
SE;677.6
BA;522.6
PR;
PB;335.7
RO;
BA;
RS;645.0
PE;
RJ;477.8
AP;540.0
MG;
AM;518.2
SC;
RJ;
ES;464.8
PI;512.8
SP;556.7
SC;442.8
SC;598.9
PI;422.5
SP;
RJ;490.7
MT;490.8
BA;590.1
ES;420.2
CE;519.2
PE;508.9
RS;643.9
RJ;432.0
SP;601.3
SP;638.8
SP;624.6
SP;
PE;463.5
SP;688.8
MG;419.9
SP;
AL;
MT;
SP;539.9
MG;540.2
BA;561.9
SP;552.6
MG;614.6
SP;678.1
AL;
PA;414.4
BA;560.8
RN;514.5
SP;412.6
CE;576.8
AM;463.6
SP;
MG;685.4
MS;669.3
MG;531.6
AL;
RJ;662.5
PA;355.4
RJ;479.9
SP;500.1
RJ;
AP;341.0
GO;618.4
SP;
PR;465.7
CE;504.8
CE;
CE;412.7
BA;478.3
PB;631.4
PE;445.8
PR;
PE;411.9
PE;610.7
MA;563.5
PR;
PA;679.4
PR;
MG;618.2
PI;
MA;401.3
MG;
RJ;
PB;458.9
SP;364.5
PA;654.3
MG;586.7
SP;
BA;507.9
GO;
RS;463.6
ES;520.9
MG;
SP;467.5
MA;550.6
MG;
SE;
DF;
CE;477.6
MG;509.9
CE;
MG;511.8
DF;608.9
SC;
ES;432.0
AC;
CE;413.1
MA;
MG;444.5
MA;
PI;610.0
PB;435.2
RJ;
PE;549.6
CE;
SP;
MA;401.9
MG;484.5
SP;
CE;473.1
CE;
RJ;470.9
SP;
AM;393.9
MG;
PA;
CE;564.7
RJ;538.0
SP;
GO;
SP;530.4
GO;
CE;585.7
MG;638.5
PB;
BA;427.7
SP;
SP;
PE;547.5
SC;651.7
PE;534.8
AL;406.7
PR;490.7
MT;
PI;457.9
RS;582.5
BA;341.5
ES;527.8
MA;
RN;
DF;354.0
RJ;660.9
RS;640.8
CE;454.9
MA;449.9
RN;505.0
PA;605.8
BA;492.6
MG;
PB;616.7
RS;352.8
RJ;466.3
BA;
PE;445.5
ES;336.6
SP;692.6
SP;775.0
MT;495.5
BA;
RN;
PA;518.7
PA;635.7
SC;
GO;594.6
RS;655.6
SC;662.3
RJ;
PE;421.8
PI;657.9
GO;
BA;400.7
PA;488.0
SP;
ES;483.7
SP;522.7
PR;770.5
DF;
MG;686.5
MA;
SP;
BA;383.3
PE;593.9
MG;
SP;662.5
PA;363.2
CE;417.1
SP;
RS;365.2
PB;538.8
MG;673.8
PR;
MG;
RS;
MS;513.7
CE;753.1
RN;695.2
RS;
RJ;406.3
MA;
SP;
MG;
RJ;
PA;475.2
DF;688.0
TO;475.3
SP;
RJ;
SP;428.3
RJ;724.3
SC;
PB;542.3
BA;
PR;364.5
BA;
CE;
CE;
CE;
MG;374.4
PB;480.0
MG;718.5
BA;531.5
SP;701.4
MG;683.2
CE;
BA;
CE;
MG;
MG;
BA;447.0
SC;610.3
SP;
CE;
MG;635.9
BA;394.6
SP;
SP;684.3
MT;448.8
RJ;506.4
BA;435.6
PI;785.6
TO;426.8
SC;
MG;
PE;
MG;419.0
PB;407.5
AL;
RS;547.3
SP;457.1
CE;
PA;370.3
MG;791.1
GO;628.8
SP;
MG;620.0
AL;
MG;
RJ;
MG;447.4
MS;
SP;
SP;598.6
SE;
BA;581.5
CE;575.4
RS;
AL;382.0
CE;
SP;465.7
DF;400.5
SP;620.8
CE;548.8
MG;725.4
SP;702.7
SP;536.6
RS;630.6
GO;521.9
BA;
SP;445.0
PB;538.0
MG;564.9
MG;
PE;
SP;
AP;579.6
PI;
PR;564.0
PB;638.3
RJ;
PA;
RJ;
PA;
RS;
MS;
BA;
RJ;
SP;596.1
GO;
GO;682.7
BA;558.2
